symbol	zacks	value	growth	momtum	vgm	industry	date
ACCO	5	B	F	D	D	Office Supplies	2022-10-23
ACEL	3	A	A	D	A	Gaming	2022-10-23
ACER	2	F	C	C	D	Medical - Drugs	2022-10-23
ACET	3	D	D	F	F	Medical - Biomedical and Genetics	2022-10-23
ACGL	2	A	C	F	B	Insurance - Property and Casualty	2022-10-23
ACH	4	D	A	A	A	Mining - Non Ferrous	2022-10-23
ACHC	3	B	B	A	A	Medical - Hospital	2022-10-23
ACHL	2	F	F	A	F	Medical - Biomedical and Genetics	2022-10-23
ACHR	2	F	B	A	C	Aerospace - Defense	2022-10-23
ACI	2	A	A	A	A	Consumer Products - Staples	2022-10-23
ACIU	TimeoutError()
ACLS	4	C	B	A	B	Electronics - Manufacturing Machinery	2022-10-23
ACM	4	C	A	D	B	Engineering - R and D Services	2022-10-23
ACMR	2	D	F	A	F	Semiconductor Equipment - Material Services	2022-10-23
ACN	4	C	A	D	B	Consulting Services	2022-10-23
ACR	2	B	C	B	B	REIT and Equity Trust	2022-10-23
ACRE	TimeoutError()
ACRS	3	F	D	D	F	Medical - Drugs	2022-10-23
ACRX	3	F	F	B	F	Medical - Drugs	2022-10-23
ACST	TimeoutError()
ACT	3	B	C	B	B	Insurance - Multi line	2022-10-23
ACVA	3	F	F	A	F	Internet - Commerce	2022-10-23
ACWF	TimeoutError()
ACWI	TimeoutError()
ACWX	TimeoutError()
ADAG	2	F	F	B	F	Medical - Biomedical and Genetics	2022-10-23
ADAP	TimeoutError()
ADBE	3	C	B	A	B	Computer - Software	2022-10-23
ADC	TimeoutError()
ADCT	1	F	F	F	F	Medical - Biomedical and Genetics	2022-10-23
ADGI	None	None	None	None	None	None	2022-10-23
ADI	3	C	B	A	B	Semiconductor - Analog and Mixed	2022-10-23
ADIL	3	D	B	B	C	Medical - Biomedical and Genetics	2022-10-23
ADM	3	A	A	B	A	Agriculture - Operations	2022-10-23
ADMA	3	D	D	D	F	Medical - Biomedical and Genetics	2022-10-23
ADMP	None	None	None	None	None	None	2022-10-23
ADN	TimeoutError()
ADNT	3	A	A	F	A	Automotive - Original Equipment	2022-10-23
ADP	3	C	C	A	B	Outsourcing	2022-10-23
ADPT	TimeoutError()
ADRE	TimeoutError()
ADS	None	None	None	None	None	None	2022-10-23
ADSE	3	F	F	D	F	Technology Services	2022-10-23
ADSK	3	D	A	D	C	Computer - Software	2022-10-23
ADT	2	B	A	C	A	Security and Safety Services	2022-10-23
ADTN	2	C	F	C	D	Technology Services	2022-10-23
ADTX	3	F	C	D	F	Medical - Drugs	2022-10-23
ADUS	4	C	A	D	B	Medical - Outpatient and Home Healthcare	2022-10-23
ADV	3	A	B	D	A	Business - Information Services	2022-10-23
ADVM	3	F	F	B	F	Medical - Biomedical and Genetics	2022-10-23
ADXN	4	F	F	C	F	Medical - Drugs	2022-10-23
AEE	3	C	C	F	D	Utility - Electric Power	2022-10-23
AEG	4	B	D	F	D	Insurance - Multi line	2022-10-23
AEIS	4	C	C	C	C	Semiconductor Equipment - Wafer Fabrication	2022-10-23
AEL	3	A	C	B	A	Insurance - Life Insurance	2022-10-23
AEM	TimeoutError()
AEO	3	A	C	F	B	Retail - Apparel and Shoes	2022-10-23
AEP	3	C	C	B	B	Utility - Electric Power	2022-10-23
AER	3	A	B	D	B	Financial - Leasing Companies	2022-10-23
AERI	1	D	A	D	C	Medical - Drugs	2022-10-23
AES	3	C	C	A	B	Utility - Electric Power	2022-10-23
AESE	None	None	None	None	None	None	2022-10-23
AEVA	TimeoutError()
AEYE	TimeoutError()
AEZS	3	D	F	F	F	Medical - Biomedical and Genetics	2022-10-23
AFCG	2	C	B	F	C	REIT and Equity Trust	2022-10-23
AFG	3	B	F	A	B	Insurance - Property and Casualty	2022-10-23
AFIB	2	D	C	F	F	Medical - Drugs	2022-10-23
AFIN	None	None	None	None	None	None	2022-10-23
AFK	None	None	None	None	None	None	2022-10-23
AFL	3	B	F	F	D	Insurance - Accident and Health	2022-10-23
AFMD	2	D	F	F	F	Medical - Biomedical and Genetics	2022-10-23
AFRM	3	F	F	D	F	Business - Services	2022-10-23
AFTY	TimeoutError()
AFYA	4	B	B	A	A	Schools	2022-10-23
AG	3	D	F	F	F	Mining - Silver	2022-10-23
AGCO	3	B	C	C	B	Manufacturing - Farm Equipment	2022-10-23
AGEN	TimeoutError()
AGFS	3	A	C	C	B	Chemical - Specialty	2022-10-23
AGFY	TimeoutError()
AGI	TimeoutError()
AGIL	TimeoutError()
AGIO	3	F	D	A	F	Medical - Products	2022-10-23
AGL	4	D	D	B	D	Medical Services	2022-10-23
AGLE	2	F	C	F	F	Medical - Biomedical and Genetics	2022-10-23
AGNC	2	A	D	A	B	REIT and Equity Trust	2022-10-23
AGR	3	C	C	D	C	Utility - Electric Power	2022-10-23
AGRO	3	A	A	F	A	Agriculture - Operations	2022-10-23
AGRX	3	D	B	D	C	Medical - Generic Drugs	2022-10-23
AGS	2	A	A	D	A	Gaming	2022-10-23
AGT	TimeoutError()
AGTC	TimeoutError()
AGTI	4	B	C	D	C	Medical Services	2022-10-23
AGYS	2	F	B	B	C	Computer - Integrated Systems	2022-10-23
AHCO	3	A	A	F	A	Medical - Products	2022-10-23
AHH	3	C	C	F	D	REIT and Equity Trust - Residential	2022-10-23
AHT	TimeoutError()
AI	3	F	D	F	F	Computers - IT Services	2022-10-23
AIA	TimeoutError()
AIG	TimeoutError()
AIKI	3	D	F	D	F	Medical - Biomedical and Genetics	2022-10-23
AIMC	4	C	D	F	D	Manufacturing - General Industrial	2022-10-23
AIN	4	D	B	B	B	Textile - Products	2022-10-23
AINC	3	A	A	C	A	Financial - Investment Management	2022-10-23
AINV	TimeoutError()
AIP	3	F	A	A	B	Internet - Software	2022-10-23
AIR	4	B	B	C	B	Aerospace - Defense Equipment	2022-10-23
AIRC	4	D	D	B	D	REIT and Equity Trust - Residential	2022-10-23
AIRG	3	D	B	C	C	Communication - Components	2022-10-23
AIRI	4	A	D	A	A	Aerospace - Defense	2022-10-23
AIRR	TimeoutError()
AIRS	3	B	B	C	B	Technology Services	2022-10-23
AIT	3	B	C	C	B	Manufacturing - General Industrial	2022-10-23
AIZ	4	A	C	C	B	Insurance - Multi line	2022-10-23
AJG	3	C	C	C	C	Insurance - Brokerage	2022-10-23
AJRD	4	C	D	F	D	Aerospace - Defense Equipment	2022-10-23
AJX	TimeoutError()
AKA	3	C	F	F	F	Retail - Apparel and Shoes	2022-10-23
AKAM	3	B	B	F	C	Internet - Services	2022-10-23
AKBA	2	C	B	B	B	Medical - Drugs	2022-10-23
AKR	3	C	D	A	C	REIT and Equity Trust - Retail	2022-10-23
AKRO	2	C	C	D	C	Medical - Biomedical and Genetics	2022-10-23
AKTS	4	F	D	B	F	Semiconductors - Radio Frequency	2022-10-23
AKU	3	B	D	B	C	Medical Services	2022-10-23
AKUS	3	D	B	B	C	Medical - Biomedical and Genetics	2022-10-23
AKYA	TimeoutError()
AL	3	B	B	F	C	Transportation - Equipment and Leasing	2022-10-23
ALB	1	D	F	D	F	Chemical - Diversified	2022-10-23
ALBO	3	F	F	B	F	Medical - Biomedical and Genetics	2022-10-23
ALC	3	B	B	D	B	Medical - Instruments	2022-10-23
ALCO	3	B	D	C	C	Agriculture - Operations	2022-10-23
ALDX	3	D	C	C	D	Medical - Drugs	2022-10-23
ALE	3	C	F	B	D	Utility - Electric Power	2022-10-23
ALEC	3	C	D	D	C	Medical - Biomedical and Genetics	2022-10-23
ALEX	3	C	C	B	C	REIT and Equity Trust - Other	2022-10-23
ALG	3	C	C	B	C	Manufacturing - Farm Equipment	2022-10-23
ALGM	5	F	B	C	D	Electronics - Semiconductors	2022-10-23
ALGN	4	C	C	D	D	Medical - Dental Supplies	2022-10-23
ALGS	2	F	C	C	F	Medical - Biomedical and Genetics	2022-10-23
ALGT	5	B	B	B	B	Transportation - Airline	2022-10-23
ALHC	TimeoutError()
ALIM	3	B	B	A	A	Medical - Biomedical and Genetics	2022-10-23
ALK	3	A	A	A	A	Transportation - Airline	2022-10-23
ALKS	3	C	B	A	B	Medical - Biomedical and Genetics	2022-10-23
ALKT	3	F	F	B	F	Internet - Software	2022-10-23
ALL	3	B	D	F	C	Insurance - Property and Casualty	2022-10-23
ALLE	3	C	C	F	C	Security and Safety Services	2022-10-23
ALLK	4	F	C	D	F	Medical - Biomedical and Genetics	2022-10-23
ALLO	TimeoutError()
ALLT	2	D	F	D	F	Technology Services	2022-10-23
ALLY	3	A	D	D	C	Financial - Consumer Loans	2022-10-23
ALNA	TimeoutError()
ALNY	3	D	C	A	D	Medical - Biomedical and Genetics	2022-10-23
ALOT	None	None	None	None	None	None	2022-10-23
ALPN	4	F	F	B	F	Medical - Drugs	2022-10-23
ALRM	3	D	D	D	F	Security and Safety Services	2022-10-23
ALRN	3	D	B	C	C	Medical - Biomedical and Genetics	2022-10-23
ALRS	TimeoutError()
ALSN	2	A	C	C	B	Automotive - Original Equipment	2022-10-23
ALT	4	F	F	D	F	Medical - Drugs	2022-10-23
ALTG	2	A	A	F	A	Manufacturing - General Industrial	2022-10-23
ALTM	TimeoutError()
ALTO	3	A	A	F	A	Consumer Products - Discretionary	2022-10-23
ALTR	3	F	D	C	F	Engineering - R and D Services	2022-10-23
ALV	3	A	B	F	B	Automotive - Original Equipment	2022-10-23
ALVR	2	F	D	B	F	Medical - Drugs	2022-10-23
ALX	3	C	D	C	D	REIT and Equity Trust - Other	2022-10-23
ALXO	3	F	F	D	F	Medical - Biomedical and Genetics	2022-10-23
ALYA	TimeoutError()
AM	TimeoutError()
AMAL	1	B	C	C	C	Financial - SBIC & Commercial Industry	2022-10-23
AMAM	3	F	D	A	F	Medical - Biomedical and Genetics	2022-10-23
AMAT	5	D	B	B	B	Semiconductor Equipment - Wafer Fabrication	2022-10-23
AMBA	3	F	B	F	D	Electronics - Semiconductors	2022-10-23
AMBP	TimeoutError()
AMC	2	D	C	C	C	Leisure and Recreation Services	2022-10-23
AMCR	TimeoutError()
AMCX	TimeoutError()
AMD	TimeoutError()
AME	3	D	D	B	D	Electronics - Testing Equipment	2022-10-23
AMED	3	B	C	F	C	Medical - Outpatient and Home Healthcare	2022-10-23
AMEH	3	B	C	C	B	Medical Services	2022-10-23
AMER	TimeoutError()
AMG	4	A	B	D	B	Financial - Investment Management	2022-10-23
AMGN	3	B	C	A	B	Medical - Biomedical and Genetics	2022-10-23
AMH	3	D	B	B	C	REIT and Equity Trust - Residential	2022-10-23
AMK	3	C	A	F	B	Financial - Investment Management	2022-10-23
AMN	1	A	A	C	A	Medical Services	2022-10-23
AMNB	None	None	None	None	None	None	2022-10-23
AMOT	2	C	B	D	B	Instruments - Control	2022-10-23
AMP	3	A	C	F	B	Financial - Investment Management	2022-10-23
AMPE	None	None	None	None	None	None	2022-10-23
AMPH	3	B	A	D	A	Medical - Generic Drugs	2022-10-23
AMPL	3	F	B	D	D	Technology Services	2022-10-23
AMPS	3	D	C	A	C	Alternative Energy - Other	2022-10-23
AMR	3	A	A	D	A	Mining - Miscellaneous	2022-10-23
AMRC	1	D	D	A	D	Alternative Energy - Other	2022-10-23
AMRK	1	A	B	F	B	Precious Metals and Jewels	2022-10-23
AMRN	3	C	F	C	D	Medical - Biomedical and Genetics	2022-10-23
AMRS	TimeoutError()
AMRX	3	A	F	F	C	Medical - Drugs	2022-10-23
AMSC	3	F	C	D	F	Electronics - Miscellaneous Components	2022-10-23
AMSF	3	C	F	B	D	Insurance - Accident and Health	2022-10-23
AMSWA	TimeoutError()
AMT	3	D	F	D	F	REIT and Equity Trust - Other	2022-10-23
AMTB	TimeoutError()
AMTI	3	D	D	B	D	Medical - Biomedical and Genetics	2022-10-23
AMTX	2	D	A	C	B	Biofuels	2022-10-23
AMWD	3	A	A	B	A	Furniture	2022-10-23
AMWL	4	F	D	C	F	Medical Info Systems	2022-10-23
AMX	3	B	C	F	C	Wireless Non-US	2022-10-23
AMYT	2	B	D	C	C	Medical - Biomedical and Genetics	2022-10-23
AMZN	4	D	B	F	D	Internet - Commerce	2022-10-23
AN	5	A	B	B	A	Automotive - Retail and Whole Sales	2022-10-23
ANAB	3	F	D	D	F	Medical - Biomedical and Genetics	2022-10-23
ANDE	2	B	B	C	A	Agriculture - Products	2022-10-23
ANET	TimeoutError()
ANF	4	A	C	F	B	Retail - Apparel and Shoes	2022-10-23
ANGI	1	C	B	B	B	Internet - Content	2022-10-23
ANGL	TimeoutError()
ANGN	2	F	D	A	F	Medical - Biomedical and Genetics	2022-10-23
ANGO	4	D	C	C	C	Medical - Instruments	2022-10-23
ANIK	3	B	C	D	C	Medical - Biomedical and Genetics	2022-10-23
ANIP	3	C	F	F	F	Medical - Biomedical and Genetics	2022-10-23
ANIX	3	F	C	F	F	Medical - Biomedical and Genetics	2022-10-23
ANNX	3	D	C	B	D	Medical - Biomedical and Genetics	2022-10-23
ANSS	3	D	D	B	D	Computer - Software	2022-10-23
ANTM	None	None	None	None	None	None	2022-10-23
AOMR	3	C	D	B	D	Financial - Mortgage & Related Services	2022-10-23
AON	4	D	B	B	C	Insurance - Brokerage	2022-10-23
AOS	4	C	D	D	D	Manufacturing - Electronics	2022-10-23
AOSL	3	A	D	D	B	Electronics - Semiconductors	2022-10-23
AOUT	4	B	A	A	A	Leisure and Recreation Products	2022-10-23
APA	3	A	A	F	A	Oil and Gas - Exploration and Production - United States	2022-10-23
APAM	TimeoutError()
APD	4	D	B	C	C	Chemical - Diversified	2022-10-23
APDN	3	F	A	A	B	Security and Safety Services	2022-10-23
APEI	2	A	B	F	B	Schools	2022-10-23
APEN	3	D	C	F	D	Medical - Instruments	2022-10-23
APH	TimeoutError()
API	3	D	F	F	F	Technology Services	2022-10-23
APLE	TimeoutError()
APLS	3	F	B	F	D	Medical - Biomedical and Genetics	2022-10-23
APLT	3	D	C	B	C	Medical - Biomedical and Genetics	2022-10-23
APO	4	D	D	F	F	Financial - Investment Management	2022-10-23
APOG	3	A	A	B	A	Glass Products	2022-10-23
APP	5	D	D	C	F	Technology Services	2022-10-23
APPF	3	F	B	A	C	Internet - Software	2022-10-23
APPH	3	F	C	B	D	Technology Services	2022-10-23
APPN	TimeoutError()
APPS	5	D	B	C	C	Internet - Software	2022-10-23
APR	TimeoutError()
APRE	3	D	B	C	C	Medical - Biomedical and Genetics	2022-10-23
APTO	TimeoutError()
APTS	None	None	None	None	None	None	2022-10-23
APTV	3	B	C	A	B	Technology Services	2022-10-23
APTX	TimeoutError()
APVO	3	F	F	D	F	Medical - Biomedical and Genetics	2022-10-23
APYX	3	D	C	B	C	Medical - Products	2022-10-23
AQB	3	D	F	D	F	Medical - Biomedical and Genetics	2022-10-23
AQMS	3	F	D	B	F	Waste Removal Services	2022-10-23
AQN	3	C	B	C	B	Utility - Electric Power	2022-10-23
AQST	3	F	A	A	B	Medical - Drugs	2022-10-23
AQUA	3	C	B	D	C	Technology Services	2022-10-23
AR	2	B	A	D	A	Oil and Gas - Exploration and Production - United States	2022-10-23
ARAV	2	F	F	A	F	Medical - Biomedical and Genetics	2022-10-23
ARAY	3	A	F	A	A	Medical - Instruments	2022-10-23
ARBE	3	F	D	B	F	Technology Services	2022-10-23
ARBK	3	A	C	B	A	Technology Services	2022-10-23
ARCB	3	A	A	B	A	Transportation - Truck	2022-10-23
ARCC	2	F	F	B	F	Financial - SBIC & Commercial Industry	2022-10-23
ARCE	5	F	F	A	D	Internet - Software	2022-10-23
ARCH	3	A	A	F	A	Coal	2022-10-23
ARCO	3	A	A	B	A	Retail - Restaurants	2022-10-23
ARCT	2	F	F	F	F	Medical - Biomedical and Genetics	2022-10-23
ARDS	3	D	C	C	C	Medical - Biomedical and Genetics	2022-10-23
ARDX	3	F	D	B	F	Medical - Drugs	2022-10-23
ARE	3	D	C	B	C	REIT and Equity Trust - Other	2022-10-23
AREC	TimeoutError()
ARES	3	D	D	F	F	Financial - Investment Management	2022-10-23
ARGO	5	C	F	D	F	Insurance - Property and Casualty	2022-10-23
ARGT	TimeoutError()
ARGX	3	D	F	C	F	Medical - Biomedical and Genetics	2022-10-23
ARHS	2	B	B	F	B	Retail - Miscellaneous	2022-10-23
ARI	3	C	D	D	D	REIT and Equity Trust	2022-10-23
ARIS	3	B	B	C	B	Waste Removal Services	2022-10-23
ARKO	2	A	A	B	A	Consumer Products - Staples	2022-10-23
ARLO	3	D	A	F	C	Internet - Software	2022-10-23
ARMK	4	B	D	D	D	Food - Miscellaneous	2022-10-23
ARMP	3	F	D	D	F	Medical - Biomedical and Genetics	2022-10-23
ARMR	TimeoutError()
ARNA	TimeoutError()
ARNC	None	None	None	None	None	None	2022-10-23
AROC	3	B	C	B	B	Oil and Gas - Field Services	2022-10-23
AROW	4	C	D	B	D	Banks - Northeast	2022-10-23
ARQT	4	F	D	A	F	Medical - Biomedical and Genetics	2022-10-23
ARR	3	C	C	A	B	REIT and Equity Trust	2022-10-23
ARRY	2	D	C	A	C	Solar	2022-10-23
ARTL	3	C	A	A	A	Medical - Biomedical and Genetics	2022-10-23
ARTNA	3	D	D	B	D	Utility - Water Supply	2022-10-23
ARVN	TimeoutError()
ARW	3	A	B	D	A	Electronics - Parts Distribution	2022-10-23
ASAI	3	C	A	A	A	Consumer Products - Discretionary	2022-10-23
ASAN	TimeoutError()
ASB	3	B	C	A	B	Banks - Midwest	2022-10-23
ASC	1	D	B	B	C	Transportation - Shipping	2022-10-23
ASEA	TimeoutError()
ASGN	TimeoutError()
ASH	3	C	C	A	B	Chemical - Specialty	2022-10-23
ASHR	TimeoutError()
ASHS	TimeoutError()
ASHX	TimeoutError()
ASIX	4	A	A	D	A	Chemical - Specialty	2022-10-23
ASLE	2	B	A	F	A	Aerospace - Defense Equipment	2022-10-23
ASLN	3	F	F	B	F	Medical - Biomedical and Genetics	2022-10-23
ASM	3	B	A	F	B	Mining - Silver	2022-10-23
ASMB	3	F	B	B	D	Medical - Generic Drugs	2022-10-23
ASML	3	D	D	B	D	Semiconductor Equipment - Wafer Fabrication	2022-10-23
ASND	1	F	F	D	F	Medical - Biomedical and Genetics	2022-10-23
ASO	3	A	B	A	A	Leisure and Recreation Products	2022-10-23
ASPN	3	F	F	B	F	Building Products - Miscellaneous	2022-10-23
ASPS	4	D	C	A	C	REIT and Equity Trust	2022-10-23
ASPU	2	F	F	B	F	Internet - Services	2022-10-23
ASR	1	D	A	B	B	Transportation - Services	2022-10-23
ASRT	3	A	A	D	A	Medical - Drugs	2022-10-23
ASTE	TimeoutError()
ASTR	3	F	C	D	F	Aerospace - Defense	2022-10-23
ASTS	3	F	F	A	F	Wireless Equipment	2022-10-23
ASUR	2	B	C	F	C	Internet - Delivery Services	2022-10-23
ASX	4	A	A	A	A	Electronics - Semiconductors	2022-10-23
ASXC	3	F	D	D	F	Medical - Instruments	2022-10-23
ASYS	2	B	C	D	C	Semiconductor - General	2022-10-23
ATAI	3	F	B	A	C	Medical - Outpatient and Home Healthcare	2022-10-23
ATAX	3	C	C	C	C	Financial - Investment Management	2022-10-23
ATC	None	None	None	None	None	None	2022-10-23
ATCO	2	B	D	C	B	Financial - Investment Management	2022-10-23
ATCX	2	B	A	F	B	Engineering - R and D Services	2022-10-23
ATEC	TimeoutError()
ATEN	TimeoutError()
ATER	3	F	B	B	C	Technology Services	2022-10-23
ATEX	3	F	D	B	D	Communication - Infrastructure	2022-10-23
ATGE	3	B	F	C	C	Schools	2022-10-23
ATHA	TimeoutError()
ATHM	3	B	C	A	B	Internet - Services	2022-10-23
ATHX	3	F	C	F	F	Medical - Biomedical and Genetics	2022-10-23
ATI	3	C	A	D	B	Steel - Speciality	2022-10-23
ATIP	3	B	D	A	B	Medical - Outpatient and Home Healthcare	2022-10-23
ATLC	3	A	A	B	A	Financial - Miscellaneous Services	2022-10-23
ATNI	3	B	B	C	B	Wireless National	2022-10-23
ATNM	3	D	A	D	C	Medical - Drugs	2022-10-23
ATNX	TimeoutError()
ATO	3	C	B	C	B	Utility - Gas Distribution	2022-10-23
ATR	4	C	B	D	C	Containers - Paper and Packaging	2022-10-23
ATRA	3	F	C	D	F	Medical - Biomedical and Genetics	2022-10-23
ATRC	3	C	C	B	C	Medical - Products	2022-10-23
ATRO	4	C	B	B	B	Aerospace - Defense Equipment	2022-10-23
ATRS	None	None	None	None	None	None	2022-10-23
ATSG	1	A	B	B	A	Transportation - Air Freight and Cargo	2022-10-23
ATTO	3	A	A	C	A	Outsourcing	2022-10-23
ATUS	4	A	D	B	B	Communication - Components	2022-10-23
ATVI	3	D	F	A	F	Toys - Games - Hobbies	2022-10-23
ATXS	TimeoutError()
ATY	2	A	F	C	C	Advertising and Marketing	2022-10-23
AU	5	B	B	F	B	Mining - Gold	2022-10-23
AUB	None	None	None	None	None	None	2022-10-23
AUD	5	D	F	B	F	Broadcast Radio and Television	2022-10-23
AUDC	3	B	D	D	C	Communication - Components	2022-10-23
AUGX	3	F	B	F	D	Medical Info Systems	2022-10-23
AUMN	3	D	C	C	D	Mining - Miscellaneous	2022-10-23
AUPH	3	F	C	A	C	Medical - Drugs	2022-10-23
AURA	3	C	D	A	C	Medical - Biomedical and Genetics	2022-10-23
AUTL	4	F	C	A	F	Medical - Biomedical and Genetics	2022-10-23
AUTO	TimeoutError()
AUVI	TimeoutError()
AUY	3	B	B	C	B	Mining - Gold	2022-10-23
AVA	3	C	D	A	C	Utility - Electric Power	2022-10-23
AVAH	4	B	B	F	B	Medical - Outpatient and Home Healthcare	2022-10-23
AVAL	4	A	F	C	C	Financial - Investment Management	2022-10-23
AVAV	1	D	F	D	F	Aerospace - Defense Equipment	2022-10-23
AVB	3	D	D	A	D	REIT and Equity Trust - Residential	2022-10-23
AVD	3	B	A	C	A	Chemical - Specialty	2022-10-23
AVDG	None	None	None	None	None	None	2022-10-23
AVDL	3	F	D	B	D	Medical - Drugs	2022-10-23
AVDX	3	F	F	B	F	Internet - Software	2022-10-23
AVEO	2	D	C	A	C	Medical - Biomedical and Genetics	2022-10-23
AVGO	3	B	A	B	A	Electronics - Semiconductors	2022-10-23
AVGR	None	None	None	None	None	None	2022-10-23
AVID	3	C	B	D	C	Computer - Software	2022-10-23
AVIR	2	D	F	C	F	Medical - Biomedical and Genetics	2022-10-23
AVLR	3	A	A	A	A	Internet - Software	2022-10-23
AVNS	5	C	A	C	A	Medical - Instruments	2022-10-23
AVNT	5	C	B	B	B	Chemical - Diversified	2022-10-23
AVNW	1	B	C	F	C	Wireless Equipment	2022-10-23
AVO	3	B	B	F	B	Agriculture - Operations	2022-10-23
AVPT	3	D	A	C	B	Technology Services	2022-10-23
AVRO	2	D	B	F	D	Medical - Biomedical and Genetics	2022-10-23
AVT	4	B	D	D	C	Electronics - Parts Distribution	2022-10-23
AVTE	2	C	C	F	D	Medical - Biomedical and Genetics	2022-10-23
AVTR	5	C	B	D	B	Medical Services	2022-10-23
AVTX	3	F	B	B	D	Medical - Drugs	2022-10-23
AVXL	TimeoutError()
AVY	4	C	A	B	B	Office Supplies	2022-10-23
AVYA	3	C	F	F	D	Communication - Network Software	2022-10-23
AWH	2	F	D	D	F	Medical - Instruments	2022-10-23
AWI	3	C	B	D	C	Building Products - Miscellaneous	2022-10-23
AWK	4	F	F	D	F	Utility - Water Supply	2022-10-23
AWR	3	D	D	A	D	Utility - Water Supply	2022-10-23
AX	1	B	C	A	B	Financial - Miscellaneous Services	2022-10-23
AXDX	3	F	A	D	D	Medical - Instruments	2022-10-23
AXGN	2	D	A	D	B	Medical - Instruments	2022-10-23
AXL	4	A	B	F	A	Automotive - Original Equipment	2022-10-23
AXLA	3	F	B	A	C	Medical - Biomedical and Genetics	2022-10-23
AXNX	TimeoutError()
AXON	2	F	B	F	D	Security and Safety Services	2022-10-23
AXP	3	B	B	A	A	Financial - Miscellaneous Services	2022-10-23
AXS	3	A	B	D	B	Insurance - Property and Casualty	2022-10-23
AXSM	3	F	C	A	C	Medical - Biomedical and Genetics	2022-10-23
AXTA	TimeoutError()
AXTI	3	B	B	C	B	Electronics - Semiconductors	2022-10-23
AXU	None	None	None	None	None	None	2022-10-23
AY	TimeoutError()
AYI	TimeoutError()
AYLA	1	F	D	D	F	Medical - Drugs	2022-10-23
AYTU	2	F	A	A	B	Medical - Biomedical and Genetics	2022-10-23
AYX	TimeoutError()
AZEK	3	B	A	A	A	Building Products - Air Conditioner and Heating	2022-10-23
AZN	TimeoutError()
AZO	3	B	A	B	A	Automotive - Retail and Wholesale - Parts	2022-10-23
AZPN	2	D	B	C	C	Internet - Software	2022-10-23
AZRE	3	A	B	B	A	Solar	2022-10-23
AZTA	3	D	F	F	F	Medical Info Systems	2022-10-23
AZUL	3	D	A	F	C	Transportation - Airline	2022-10-23
AZYO	3	D	C	C	C	Medical - Drugs	2022-10-23
AZZ	1	A	C	C	B	Manufacturing - Electronics	2022-10-23
B	4	C	C	C	C	Manufacturing - General Industrial	2022-10-23
BA	4	D	B	F	D	Aerospace - Defense	2022-10-23
BAB	TimeoutError()
BABA	3	A	B	C	A	Internet - Commerce	2022-10-23
BAC	3	F	F	A	D	Banks - Major Regional	2022-10-23
BAH	TimeoutError()
BAK	5	A	C	A	A	Oil and Gas - Integrated - International	2022-10-23
BAL	TimeoutError()
BALY	3	A	B	F	B	Hotels and Motels	2022-10-23
BANC	3	B	B	D	B	Banks - Southwest	2022-10-23
BAND	2	B	D	F	D	Communication - Infrastructure	2022-10-23
BANF	TimeoutError()
